sn,name,price
656,Avocado,375.00
657,Avocado,300.00
658,Avocado,300.00
659,Avocado,275.00
660,Avocado,300.00
661,Avocado,300.00
662,Avocado,300.00
663,Avocado,300.00
664,Avocado,300.00
665,Avocado,300.00
666,Avocado,300.00
667,Avocado,300.00
668,Avocado,250.00
669,Avocado,250.00
670,Avocado,250.00
671,Avocado,250.00
672,Avocado,250.00
673,Avocado,275.00
674,Avocado,250.00
675,Avocado,250.00
676,Avocado,250.00
677,Avocado,250.00
678,Avocado,250.00
679,Avocado,250.00
680,Avocado,250.00
681,Avocado,250.00
682,Avocado,250.00
683,Avocado,250.00
684,Avocado,250.00
685,Avocado,250.00
686,Avocado,250.00
687,Avocado,250.00
688,Avocado,250.00
689,Avocado,250.00
690,Avocado,225.00
691,Avocado,250.00
692,Avocado,250.00
693,Avocado,250.00
694,Avocado,300.00
695,Avocado,250.00
696,Avocado,250.00
697,Avocado,250.00
698,Avocado,250.00
699,Avocado,250.00
700,Avocado,250.00
701,Avocado,250.00
702,Avocado,250.00
703,Avocado,250.00
704,Avocado,250.00
705,Avocado,250.00
706,Avocado,250.00
707,Avocado,250.00
708,Avocado,250.00
709,Avocado,250.00
710,Avocado,250.00
711,Avocado,225.00
712,Avocado,250.00
713,Avocado,250.00
714,Avocado,250.00
715,Avocado,250.00
716,Avocado,250.00
717,Avocado,250.00
718,Avocado,250.00
719,Avocado,250.00
720,Avocado,250.00
721,Avocado,250.00
722,Avocado,225.00
723,Avocado,225.00
724,Avocado,225.00
725,Avocado,250.00
726,Avocado,225.00
727,Avocado,225.00
728,Avocado,250.00
729,Avocado,250.00
730,Avocado,250.00
731,Avocado,250.00
732,Avocado,250.00
733,Avocado,250.00
734,Avocado,250.00
735,Avocado,250.00
736,Avocado,250.00
737,Avocado,250.00
738,Avocado,250.00
739,Avocado,250.00
740,Avocado,250.00
741,Avocado,250.00
742,Avocado,250.00
743,Avocado,250.00
744,Avocado,250.00
745,Avocado,250.00
746,Avocado,250.00
747,Avocado,250.00
748,Avocado,250.00
749,Avocado,250.00
750,Avocado,250.00
751,Avocado,250.00
752,Avocado,250.00
753,Avocado,250.00
754,Avocado,250.00
755,Avocado,250.00
756,Avocado,250.00
757,Avocado,250.00
758,Avocado,250.00
759,Avocado,250.00
760,Avocado,250.00
761,Avocado,250.00
762,Avocado,250.00
763,Avocado,250.00
764,Avocado,250.00
765,Avocado,250.00
